page #,job_title,url,companies,requirements,location
1,Account Clerk,https://hk.jobsdb.com/hk/en/job/account-clerk-100003006827209,Heng Lee Jewellery Co Ltd,AccountingCompleted LCCI Intermediate or above2 years relevant experience in accounting field,Tsim Sha Tsui
1,Accountant,https://hk.jobsdb.com/hk/en/job/accountant-100003006827203,PEARSON FEARN & CO,5 DAY WK. STABLE HOURS. NICE AREA. NO CHINA TRAVELSOLID WORK EXP W/ FOREIGN CLIENTS IS AN ADVANTAGEGOOD ENGLISH. GOOD COMPUTER SKILLS. TEAM PLAYER,Tsim Sha Tsui
1,Accounts Clerk,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006826440,Class-A Design Centre (H.K.) Limited,High Diploma or above1-2 years related working experienceImmediate availability is highly preferred,Tsim Sha Tsui
1,Accountant,https://hk.jobsdb.com/hk/en/job/accountant-100003006826420,Tai Hung Fai Enterprise Co Ltd,"Handle full sets of accountsHandle statutory audit, tax filing matters3 - 5 years relevant working experience",Tsim Sha Tsui
1,"Audit Staff – Junior, Semi-senior And Senior",https://hk.jobsdb.com/hk/en/job/audit-staff-junior-semi-senior-and-senior-100003006826065,C. W. Leung & Co,Higher diploma/degree holder in AccountancyMember or student member of HKICPA5 days work,Tsim Sha Tsui
1,Account Assistant/accountant,https://hk.jobsdb.com/hk/en/job/account-assistant-accountant-100003006826049,Triangular Force Construction Engineering Limited,minimum 2 years' of Account Assistant requiredHigher Diploma or above in Accountantimmediate available,Tsim Sha Tsui
1,Accounting Officer,https://hk.jobsdb.com/hk/en/job/accounting-officer-100003006825821,Company Confidential,Perform daily accounting duties;Assist in handling all tax & statutory compliance5-day week,Tsim Sha Tsui
1,Financial Controller,https://hk.jobsdb.com/hk/en/job/financial-controller-100003006825331,Company Confidential,"Qualified Accountant at least 6-8 yrs’ experienceKnowledge of HKFRS, listing rules, taxation expStrong analytical thinking & language (Eng/Chinese",Tsim Sha Tsui
1,Assistant Accountant,https://hk.jobsdb.com/hk/en/job/assistant-accountant-100003006818565,Prime Source Enterprises Limited,Diploma or above1-2 years or above of relevant working experience5 day work week,Tsim Sha Tsui
1,Accounting & General Administrator,https://hk.jobsdb.com/hk/en/job/accounting-general-administrator-100003006818138,Skin Corner Limited,"Prepare full set accountsManage stock inventory5 day work week, competitive package",Tsim Sha Tsui
1,Audit Staff All Grade (juniors To Senior),https://hk.jobsdb.com/hk/en/job/audit-staff-all-grade-100003006816299,Fok Chan Leung Wan CPA Limited,"Degree/ Diploma in Accountancy5-Day work, OT compensationInitiative, good analytical & communication skills",Tsim Sha Tsui
1,"Investigations, Credit & Risk Analyst  / Trainee (5 Days Work)",https://hk.jobsdb.com/hk/en/job/investigations-credit-risk-analyst-trainee-100003006816095,Total Credit Management Services Hong Kong Limited,5 days workBonusBank Holidays,Tsim Sha Tsui
1,Senior Officer (accounting & Shipping),https://hk.jobsdb.com/hk/en/job/senior-officer-100003006807927,Guo Rong Holdings Limited,"Experience in Accounting, Shipping, AdministrationAttractive Salary Package & Work Life BalanceFluent in Mandarin, Travel to PRC is needed",Tsim Sha Tsui
